malic_acid,alcalinity_of_ash,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,hue,od280/od315_of_diluted_wines,proline,target_class
1.71,15.6,2.8,3.06,0.28,2.29,1.04,3.92,1065,1
1.78,11.2,2.65,2.76,0.26,1.28,1.05,3.4,1050,1
2.36,18.6,2.8,3.24,0.3,2.81,1.03,3.17,1185,1
1.95,16.8,3.85,3.49,0.24,2.18,0.86,3.45,1480,1
2.59,21,2.8,2.69,0.39,1.82,1.04,2.93,735,1
1.76,15.2,3.27,3.39,0.34,1.97,1.05,2.85,1450,1
1.87,14.6,2.5,2.52,0.3,1.98,1.02,3.58,1290,1
2.15,17.6,2.6,2.51,0.31,1.25,1.06,3.58,1295,1
1.64,14,2.8,2.98,0.29,1.98,1.08,2.85,1045,1
1.35,16,2.98,3.15,0.22,1.85,1.01,3.55,1045,1
2.16,18,2.95,3.32,0.22,2.38,1.25,3.17,1510,1
1.48,16.8,2.2,2.43,0.26,1.57,1.17,2.82,1280,1
1.73,16,2.6,2.76,0.29,1.81,1.15,2.9,1320,1
1.73,11.4,3.1,3.69,0.43,2.81,1.25,2.73,1150,1
1.87,12,3.3,3.64,0.29,2.96,1.2,3,1547,1
1.81,17.2,2.85,2.91,0.3,1.46,1.28,2.88,1310,1
1.92,20,2.8,3.14,0.33,1.97,1.07,2.65,1280,1
1.57,20,2.95,3.4,0.4,1.72,1.13,2.57,1130,1
1.59,16.5,3.3,3.93,0.32,1.86,1.23,2.82,1680,1
3.1,15.2,2.7,3.03,0.17,1.66,0.96,3.36,845,1
1.63,16,3,3.17,0.24,2.1,1.09,3.71,780,1
3.8,18.6,2.41,2.41,0.25,1.98,1.03,3.52,770,1
1.86,16.6,2.61,2.88,0.27,1.69,1.11,4,1035,1
1.6,17.8,2.48,2.37,0.26,1.46,1.09,3.63,1015,1
1.81,20,2.53,2.61,0.28,1.66,1.12,3.82,845,1
2.05,25,2.63,2.68,0.47,1.92,1.13,3.2,830,1
1.77,16.1,2.85,2.94,0.34,1.45,0.92,3.22,1195,1
1.72,17,2.4,2.19,0.27,1.35,1.02,2.77,1285,1
1.9,19.4,2.95,2.97,0.37,1.76,1.25,3.4,915,1
1.68,16,2.65,2.33,0.26,1.98,1.04,3.59,1035,1
1.5,22.5,3,3.25,0.29,2.38,1.19,2.71,1285,1
1.66,19.1,2.86,3.19,0.22,1.95,1.09,2.88,1515,1
1.83,17.2,2.42,2.69,0.42,1.97,1.23,2.87,990,1
1.53,19.5,2.95,2.74,0.5,1.35,1.25,3,1235,1
1.8,19,2.35,2.53,0.29,1.54,1.1,2.87,1095,1
1.81,20.5,2.7,2.98,0.26,1.86,1.04,3.47,920,1
1.64,15.5,2.6,2.68,0.34,1.36,1.09,2.78,880,1
1.65,18,2.45,2.43,0.29,1.44,1.12,2.51,1105,1
1.5,15.5,2.4,2.64,0.28,1.37,1.18,2.69,1020,1
3.99,13.2,3,3.04,0.2,2.08,0.89,3.53,760,1
1.71,16.2,3.15,3.29,0.34,2.34,0.95,3.38,795,1
3.84,18.8,2.45,2.68,0.27,1.48,0.91,3,1035,1
1.89,15,3.25,3.56,0.17,1.7,0.88,3.56,1095,1
3.98,17.5,2.64,2.63,0.32,1.66,0.82,3,680,1
1.77,17,3,3,0.28,2.03,0.88,3.35,885,1
4.04,18.9,2.85,2.65,0.3,1.25,0.87,3.33,1080,1
3.59,16,3.25,3.17,0.27,2.19,1.04,3.44,1065,1
1.68,16,3.1,3.39,0.21,2.14,0.91,3.33,985,1
2.02,18.8,2.75,2.92,0.32,2.38,1.07,2.75,1060,1
1.73,17.4,2.88,3.54,0.32,2.08,1.12,3.1,1260,1
1.73,12.4,2.72,3.27,0.17,2.91,1.12,2.91,1150,1
1.65,17.2,2.45,2.99,0.22,2.29,1.24,3.37,1265,1
1.75,14,3.88,3.74,0.32,1.87,1.01,3.26,1190,1
1.9,17.1,3,2.79,0.39,1.68,1.13,2.93,1375,1
1.67,16.4,2.6,2.9,0.21,1.62,0.92,3.2,1060,1
1.73,20.5,2.96,2.78,0.2,2.45,0.98,3.03,1120,1
1.7,16.3,3.2,3,0.26,2.03,0.94,3.31,970,1
1.97,16.8,3,3.23,0.31,1.66,1.07,2.84,1270,1
1.43,16.7,3.4,3.67,0.19,2.04,0.89,2.87,1285,1
1.35,18,1.51,1.25,0.21,0.94,0.76,1.29,630,2
2.99,20,1.3,1.22,0.24,0.83,0.74,1.42,530,2
2.31,24,1.15,1.09,0.27,0.83,0.66,1.36,560,2
3.55,21.5,1.7,1.2,0.17,0.84,0.78,1.29,600,2
1.24,17.5,2,0.58,0.6,1.25,0.75,1.51,650,2
2.46,18.5,1.62,0.66,0.63,0.94,0.73,1.58,695,2
4.72,21,1.38,0.47,0.53,0.8,0.75,1.27,720,2
5.51,25,1.79,0.6,0.63,1.1,0.82,1.69,515,2
3.59,19.5,1.62,0.48,0.58,0.88,0.81,1.82,580,2
2.96,24,2.32,0.6,0.53,0.81,0.89,2.15,590,2
2.81,21,1.54,0.5,0.53,0.75,0.77,2.31,600,2
2.56,20,1.4,0.5,0.37,0.64,0.7,2.47,780,2
3.17,23.5,1.55,0.52,0.5,0.55,0.89,2.06,520,2
4.95,20,2,0.8,0.47,1.02,0.91,2.05,550,2
3.88,18.5,1.38,0.78,0.29,1.14,0.65,2,855,2
3.57,21,1.5,0.55,0.43,1.3,0.6,1.68,830,2
5.04,20,0.98,0.34,0.4,0.68,0.58,1.33,415,2
4.61,21.5,1.7,0.65,0.47,0.86,0.54,1.86,625,2
3.24,21.5,1.93,0.76,0.45,1.25,0.55,1.62,650,2
3.9,21.5,1.41,1.39,0.34,1.14,0.57,1.33,550,2
3.12,24,1.4,1.57,0.22,1.25,0.59,1.3,500,2
2.67,22,1.48,1.36,0.24,1.26,0.48,1.47,480,2
1.9,25.5,2.2,1.28,0.26,1.56,0.61,1.33,425,2
3.3,18.5,1.8,0.83,0.61,1.87,0.56,1.51,675,2
1.29,20,1.48,0.58,0.53,1.4,0.58,1.55,640,2
5.19,22,1.74,0.63,0.61,1.55,0.6,1.48,725,2
4.12,19.5,1.8,0.83,0.48,1.56,0.57,1.64,480,2
3.03,27,1.9,0.58,0.63,1.14,0.67,1.73,880,2
1.68,25,2.8,1.31,0.53,2.7,0.57,1.96,660,2
1.67,22.5,2.6,1.1,0.52,2.29,0.57,1.78,620,2
3.83,21,2.3,0.92,0.5,1.04,0.56,1.58,520,2
3.26,20,1.83,0.56,0.5,0.8,0.96,1.82,680,2
3.27,22,1.65,0.6,0.6,0.96,0.87,2.11,570,2
3.45,18.5,1.39,0.7,0.4,0.94,0.68,1.75,675,2
2.76,22,1.35,0.68,0.41,1.03,0.7,1.68,615,2
4.36,22.5,1.28,0.47,0.52,1.15,0.78,1.75,520,2
3.7,23,1.7,0.92,0.43,1.46,0.85,1.56,695,2
3.37,19.5,1.48,0.66,0.4,0.97,0.72,1.75,685,2
2.58,24.5,1.55,0.84,0.39,1.54,0.74,1.8,750,2
4.6,25,1.98,0.96,0.27,1.11,0.67,1.92,630,2
3.03,19,1.25,0.49,0.4,0.73,0.66,1.83,510,2
2.39,19.5,1.39,0.51,0.48,0.64,0.57,1.63,470,2
2.51,20,1.68,0.7,0.44,1.24,0.62,1.71,660,2
5.65,20.5,1.68,0.61,0.52,1.06,0.64,1.74,740,2
3.91,23,1.8,0.75,0.43,1.41,0.7,1.56,750,2
4.28,20,1.59,0.69,0.43,1.35,0.59,1.56,835,2
2.59,20,1.65,0.68,0.53,1.46,0.6,1.62,840,2
4.1,24.5,2.05,0.76,0.56,1.35,0.61,1.6,560,2